AKAZEdist_2023-03-09_11:05:54,000.png,00001.png,000010.png,000011.png,000012.png,000013.png,000014.png,000015.png,000016.png,000017.png,000018.png,000019.png,00002.png,000020.png,000021.png,000022.png,000023.png,000024.png,000025.png,000026.png,000027.png,000028.png,000029.png,00003.png,000030.png,000031.png,000032.png,000033.png,000034.png,000035.png,000036.png,000037.png,000038.png,000039.png,00004.png,000040.png,000041.png,000042.png,000043.png,000044.png,000045.png,000046.png,000047.png,000048.png,00005.png,00006.png,00007.png,00008.png,00009.png,01.png
000.png,0.0,101.02127659574468,82.19148936170212,148.61702127659575,84.46808510638297,120.19148936170212,72.8936170212766,84.80851063829788,144.29787234042553,108.06382978723404,109.02127659574468,70.76595744680851,135.4468085106383,72.8936170212766,127.44680851063829,110.34042553191489,80.61702127659575,83.80851063829788,140.89361702127658,158.12765957446808,84.63829787234043,183.31914893617022,151.7659574468085,84.19148936170212,147.4468085106383,169.46808510638297,89.8936170212766,78.76595744680851,95.04255319148936,159.51063829787233,107.27659574468085,88.36170212765957,129.85106382978722,159.4468085106383,75.87234042553192,160.17021276595744,153.2127659574468,124.63829787234043,77.76595744680851,105.48936170212765,180.25531914893617,75.59574468085107,73.61702127659575,92.36170212765957,86.04255319148936,104.44680851063829,137.5531914893617,124.65957446808511,156.04255319148936,123.12765957446808
00001.png,143.73333333333332,0.0,149.15,149.61666666666667,127.3,146.4,137.93333333333334,146.16666666666666,145.6,126.96666666666667,124.73333333333333,142.08333333333334,145.41666666666666,156.41666666666666,123.01666666666667,131.7,126.93333333333334,122.7,152.61666666666667,157.51666666666668,154.13333333333333,173.38333333333333,150.16666666666666,158.66666666666666,152.35,158.66666666666666,122.4,152.83333333333334,136.2,162.8,135.41666666666666,142.0,134.0,151.9,157.83333333333334,155.6,153.41666666666666,148.08333333333334,155.6,141.16666666666666,167.05,145.35,162.35,158.53333333333333,129.33333333333334,144.31666666666666,132.81666666666666,133.88333333333333,149.7,136.35
000010.png,80.91428571428571,103.72857142857143,0.0,148.18571428571428,73.24285714285715,125.21428571428571,70.48571428571428,77.65714285714286,141.18571428571428,112.58571428571429,97.08571428571429,74.51428571428572,127.42857142857143,72.44285714285714,118.15714285714286,115.05714285714286,71.91428571428571,78.2,131.77142857142857,157.02857142857144,72.62857142857143,175.6,147.5,76.6,141.9,158.38571428571427,80.0,67.72857142857143,92.08571428571429,154.04285714285714,78.21428571428571,69.48571428571428,112.21428571428571,152.12857142857143,78.75714285714285,149.6,147.77142857142857,115.24285714285715,77.72857142857143,100.85714285714286,166.61428571428573,74.87142857142857,75.52857142857142,73.75714285714285,87.5,86.68571428571428,133.25714285714287,131.37142857142857,150.84285714285716,127.68571428571428
000011.png,186.04787234042553,174.38297872340425,181.88829787234042,0.0,170.71808510638297,192.54255319148936,181.36702127659575,182.6968085106383,135.20212765957447,187.49468085106383,185.24468085106383,179.55851063829786,137.5531914893617,187.0159574468085,180.0,191.64893617021278,176.14361702127658,168.58510638297872,146.97340425531914,138.25531914893617,186.94148936170214,138.9468085106383,127.96808510638297,185.06382978723406,129.8404255319149,143.14893617021278,166.92021276595744,183.6968085106383,161.03191489361703,139.20744680851064,167.44148936170214,175.31914893617022,161.5159574468085,137.0372340425532,187.99468085106383,138.54787234042553,150.6595744680851,144.89361702127658,180.88829787234042,150.14893617021278,152.9468085106383,171.0744680851064,185.9840425531915,176.86702127659575,183.89361702127658,148.85106382978722,156.6755319148936,180.86170212765958,139.59574468085106,179.86170212765958
000012.png,97.4,105.05714285714286,93.88571428571429,140.72857142857143,0.0,120.35714285714286,96.48571428571428,92.94285714285714,132.15714285714284,95.24285714285715,100.52857142857142,82.05714285714286,133.14285714285714,106.14285714285714,120.22857142857143,107.71428571428571,84.37142857142857,72.3,141.5857142857143,152.74285714285713,103.71428571428571,171.52857142857144,140.4142857142857,116.97142857142858,138.55714285714285,160.02857142857144,84.11428571428571,111.45714285714286,103.68571428571428,152.37142857142857,86.97142857142858,71.12857142857143,118.8,148.71428571428572,112.27142857142857,153.04285714285714,156.52857142857144,125.07142857142857,98.72857142857143,120.48571428571428,168.72857142857143,97.62857142857143,108.42857142857143,116.34285714285714,75.9,105.35714285714286,137.5857142857143,121.32857142857142,143.0,123.14285714285714
000013.png,110.83333333333333,123.76666666666667,114.83333333333333,163.96666666666667,94.33333333333333,0.0,135.9,114.23333333333333,137.6,91.73333333333333,102.03333333333333,111.03333333333333,143.93333333333334,139.83333333333334,115.96666666666667,93.13333333333334,100.96666666666667,91.16666666666667,160.73333333333332,158.63333333333333,131.16666666666666,182.33333333333334,158.0,147.2,159.8,162.7,104.23333333333333,144.43333333333334,126.8,173.23333333333332,122.66666666666667,88.5,127.53333333333333,158.46666666666667,138.26666666666668,153.23333333333332,150.0,149.26666666666668,131.33333333333334,144.53333333333333,192.8,125.5,137.1,147.73333333333332,100.03333333333333,117.7,148.5,104.03333333333333,160.46666666666667,103.6
000014.png,73.62,105.56,75.02,145.88,82.6,130.76,0.0,76.68,143.66,119.22,111.18,56.82,130.92,64.14,131.84,120.56,75.32,75.86,138.36,155.98,69.22,177.24,145.26,72.58,141.7,162.78,82.52,65.1,97.6,154.42,93.78,80.56,124.74,156.0,68.16,153.72,150.4,121.36,69.54,99.94,176.12,67.16,64.32,75.88,85.26,95.8,136.66,131.74,153.76,127.12
000015.png,89.67647058823529,118.58823529411765,90.41176470588235,145.58823529411765,88.70588235294117,120.91176470588235,85.8529411764706,0.0,138.73529411764707,115.61764705882354,117.58823529411765,85.26470588235294,133.3235294117647,91.76470588235294,125.58823529411765,114.6470588235294,91.08823529411765,89.73529411764706,143.64705882352942,151.0,88.79411764705883,172.97058823529412,147.08823529411765,94.94117647058823,145.38235294117646,164.26470588235293,91.82352941176471,94.61764705882354,98.82352941176471,154.6764705882353,95.05882352941177,86.6470588235294,132.7941176470588,152.41176470588235,94.26470588235294,153.2941176470588,156.55882352941177,122.52941176470588,89.8529411764706,113.38235294117646,167.61764705882354,93.23529411764706,88.6470588235294,99.8529411764706,97.02941176470588,110.02941176470588,132.61764705882354,115.44117647058823,147.0,114.44117647058823
000016.png,184.16949152542372,168.180790960452,179.8135593220339,140.87570621468927,171.4632768361582,189.8135593220339,179.96610169491527,178.75141242937852,0.0,180.5536723163842,179.45197740112994,178.99435028248587,141.09604519774012,186.5593220338983,174.03389830508473,186.85310734463278,173.36723163841808,168.47457627118644,148.74576271186442,147.58757062146893,186.40112994350284,150.045197740113,143.36723163841808,183.68926553672316,144.15254237288136,145.954802259887,166.4632768361582,183.07909604519773,163.42937853107344,150.0225988700565,170.3728813559322,177.99435028248587,160.5593220338983,146.31073446327684,188.12994350282486,150.66666666666666,150.3050847457627,148.77401129943502,182.14689265536722,148.4915254237288,155.24858757062148,171.70056497175142,185.03954802259886,175.62146892655366,181.32203389830508,145.78531073446328,153.51977401129943,176.40112994350284,145.36723163841808,175.78531073446328
000017.png,107.39655172413794,112.20689655172414,130.5,151.58620689655172,83.67241379310344,112.12068965517241,133.77586206896552,121.56896551724138,145.94827586206895,0.0,100.20689655172414,108.75862068965517,151.1206896551724,147.10344827586206,116.32758620689656,76.32758620689656,96.29310344827586,92.51724137931035,153.86206896551724,155.25862068965517,140.60344827586206,186.10344827586206,155.29310344827587,153.91379310344828,158.67241379310346,171.20689655172413,102.1896551724138,147.89655172413794,127.03448275862068,165.94827586206895,120.44827586206897,95.82758620689656,137.86206896551724,156.6206896551724,146.79310344827587,157.77586206896552,154.29310344827587,149.9655172413793,142.8448275862069,148.27586206896552,181.94827586206895,136.82758620689654,150.8793103448276,155.58620689655172,85.08620689655173,125.62068965517241,143.9655172413793,104.05172413793103,152.1206896551724,101.32758620689656
000018.png,106.0,109.28395061728395,95.45679012345678,160.08641975308643,73.60493827160494,97.27160493827161,120.19753086419753,110.62962962962963,132.20987654320987,80.71604938271605,0.0,96.81481481481481,139.25925925925927,125.50617283950618,88.95061728395062,93.1604938271605,70.41975308641975,73.35802469135803,137.1358024691358,159.8395061728395,127.38271604938272,177.92592592592592,157.23456790123456,145.1358024691358,153.09876543209876,156.49382716049382,87.01234567901234,133.64197530864197,115.1358024691358,155.11111111111111,103.82716049382717,73.18518518518519,96.35802469135803,155.85185185185185,130.91358024691357,159.03703703703704,145.49382716049382,145.19753086419752,123.30864197530865,134.49382716049382,186.65432098765433,113.87654320987654,134.22222222222223,140.14814814814815,81.01234567901234,94.71604938271605,141.07407407407408,118.80246913580247,155.50617283950618,112.55555555555556
000019.png,72.32142857142857,107.76785714285714,80.25,147.32142857142858,83.35714285714286,126.92857142857143,63.732142857142854,85.51785714285714,143.375,117.39285714285714,115.32142857142857,0.0,134.41071428571428,72.05357142857143,130.41071428571428,122.5,80.75,79.16071428571429,139.19642857142858,155.48214285714286,76.21428571428571,179.26785714285714,146.80357142857142,81.16071428571429,142.89285714285714,165.53571428571428,84.5,75.19642857142857,95.78571428571429,155.21428571428572,96.39285714285714,81.69642857142857,125.64285714285714,157.17857142857142,74.76785714285714,155.98214285714286,151.46428571428572,116.03571428571429,74.53571428571429,108.03571428571429,173.67857142857142,74.01785714285714,71.85714285714286,81.375,85.73214285714286,100.83928571428571,137.80357142857142,130.07142857142858,155.17857142857142,130.48214285714286
00002.png,173.88135593220338,160.33898305084745,168.9322033898305,124.11016949152543,159.5084745762712,185.8050847457627,166.17796610169492,168.3728813559322,127.87288135593221,176.9322033898305,172.32203389830508,168.55084745762713,0.0,172.72033898305085,171.8728813559322,182.3135593220339,159.94915254237287,156.6271186440678,130.10169491525423,138.10169491525423,171.364406779661,137.58474576271186,132.59322033898306,170.22881355932202,133.72881355932202,131.3135593220339,150.5677966101695,168.46610169491527,141.89830508474577,133.74576271186442,151.55084745762713,163.78813559322035,141.33898305084745,134.04237288135593,174.1271186440678,133.97457627118644,133.77966101694915,128.83898305084745,162.22033898305085,130.54237288135593,133.61016949152543,151.3135593220339,169.53389830508473,157.71186440677965,172.09322033898306,130.66101694915255,143.1271186440678,173.76271186440678,126.7457627118644,172.96610169491527
000020.png,66.87931034482759,104.46551724137932,72.25862068965517,149.3448275862069,82.20689655172414,130.82758620689654,62.39655172413793,78.93103448275862,150.20689655172413,123.24137931034483,110.25862068965517,63.224137931034484,134.81034482758622,0.0,129.17241379310346,117.77586206896552,74.98275862068965,79.29310344827586,139.9655172413793,161.81034482758622,65.15517241379311,179.6206896551724,149.75862068965517,68.46551724137932,149.0,168.70689655172413,85.55172413793103,57.13793103448276,93.53448275862068,163.08620689655172,98.20689655172414,79.32758620689656,131.93103448275863,161.58620689655172,60.775862068965516,159.10344827586206,147.43103448275863,122.41379310344827,66.96551724137932,96.74137931034483,179.24137931034483,61.53448275862069,61.91379310344828,68.36206896551724,82.63793103448276,97.17241379310344,138.98275862068965,134.0,157.20689655172413,130.55172413793105
000021.png,143.93650793650792,128.68253968253967,143.06349206349208,159.015873015873,135.42857142857142,139.65079365079364,150.55555555555554,140.36507936507937,147.84126984126985,126.85714285714286,125.73015873015873,145.1904761904762,150.87301587301587,156.9206349206349,0.0,129.26984126984127,133.71428571428572,133.03174603174602,163.31746031746033,154.63492063492063,154.9047619047619,176.0793650793651,162.65079365079364,162.0952380952381,158.88888888888889,163.82539682539684,137.65079365079364,156.9047619047619,147.15873015873015,170.5079365079365,148.23809523809524,141.53968253968253,140.66666666666666,163.46031746031747,155.74603174603175,165.6031746031746,165.73015873015873,161.55555555555554,157.14285714285714,152.82539682539684,180.96825396825398,149.6031746031746,161.4920634920635,162.0952380952381,142.55555555555554,146.17460317460316,148.14285714285714,126.25396825396825,165.06349206349208,126.19047619047619
000022.png,103.2051282051282,112.23076923076923,122.48717948717949,157.5897435897436,90.48717948717949,106.7948717948718,133.56410256410257,116.05128205128206,145.30769230769232,73.43589743589743,101.76923076923077,116.07692307692308,145.74358974358975,138.71794871794873,113.1025641025641,0.0,98.74358974358974,97.12820512820512,152.53846153846155,152.66666666666666,131.43589743589743,184.07692307692307,158.92307692307693,147.5897435897436,160.15384615384616,168.07692307692307,102.82051282051282,139.05128205128204,127.71794871794872,172.53846153846155,124.17948717948718,101.25641025641026,134.51282051282053,157.23076923076923,139.17948717948718,157.02564102564102,153.66666666666666,153.10256410256412,135.64102564102564,141.0,186.23076923076923,128.46153846153845,142.17948717948718,150.10256410256412,95.38461538461539,121.97435897435898,144.17948717948718,97.2051282051282,151.92307692307693,93.43589743589743
000023.png,84.78021978021978,101.07692307692308,73.21978021978022,150.21978021978023,64.87912087912088,113.9010989010989,82.06593406593407,80.38461538461539,133.67032967032966,94.92307692307692,74.0989010989011,78.89010989010988,126.45054945054945,84.07692307692308,102.95604395604396,97.3076923076923,0.0,69.93406593406593,130.01098901098902,155.71428571428572,89.82417582417582,175.37362637362637,148.28571428571428,101.12087912087912,142.57142857142858,154.86813186813185,74.53846153846153,90.98901098901099,99.10989010989012,151.4945054945055,85.74725274725274,69.16483516483517,101.0989010989011,147.62637362637363,96.63736263736264,154.01098901098902,148.5054945054945,131.54945054945054,84.75824175824175,103.53846153846153,178.32967032967034,80.02197802197803,92.81318681318682,101.34065934065934,75.92307692307692,86.67032967032966,134.7912087912088,125.41758241758242,145.72527472527472,121.71428571428571
000024.png,96.92405063291139,110.36708860759494,93.48101265822785,145.73417721518987,76.82278481012658,115.65822784810126,98.81012658227849,102.22784810126582,130.7594936708861,104.29113924050633,93.29113924050633,86.63291139240506,132.20253164556962,107.68354430379746,118.50632911392405,109.81012658227849,80.20253164556962,0.0,136.60759493670886,153.0,105.53164556962025,172.0759493670886,143.0506329113924,115.60759493670886,138.1772151898734,154.9367088607595,84.10126582278481,111.70886075949367,105.50632911392405,145.25316455696202,99.0506329113924,78.64556962025317,106.37974683544304,147.37974683544303,112.9493670886076,153.0253164556962,150.1139240506329,128.21518987341773,106.51898734177215,120.65822784810126,170.18987341772151,99.0886075949367,107.81012658227849,111.0126582278481,90.67088607594937,103.9113924050633,134.67088607594937,122.68354430379746,148.41772151898735,121.87341772151899
000025.png,184.9009900990099,166.11881188118812,181.23762376237624,124.70297029702971,168.35643564356437,199.40594059405942,183.67326732673268,183.03960396039605,126.42574257425743,185.4851485148515,183.1881188118812,183.2970297029703,122.4950495049505,188.9009900990099,177.9108910891089,189.9009900990099,174.0990099009901,168.15841584158414,0.0,143.4950495049505,190.35643564356437,127.03960396039604,137.16831683168317,189.76237623762376,138.13861386138615,137.8118811881188,159.1980198019802,186.6039603960396,151.72277227722773,137.87128712871288,159.3861386138614,178.1980198019802,152.27722772277227,137.20792079207922,193.0,123.67326732673267,100.45544554455445,98.91089108910892,179.63366336633663,118.0,107.07920792079207,165.05940594059405,187.24752475247524,172.01980198019803,186.64356435643563,107.20792079207921,146.33663366336634,181.02970297029702,132.990099009901,179.15841584158414
000026.png,187.63114754098362,176.4262295081967,184.0655737704918,131.48360655737704,176.22131147540983,192.9262295081967,182.38524590163934,181.72131147540983,138.79508196721312,183.80327868852459,184.47540983606558,182.24590163934425,141.04918032786884,187.2622950819672,178.0327868852459,187.36885245901638,178.95901639344262,172.09016393442624,155.5,0.0,188.4672131147541,143.4344262295082,137.04098360655738,182.62295081967213,131.37704918032787,142.48360655737704,173.827868852459,183.75409836065575,169.4262295081967,143.52459016393442,174.95901639344262,179.9344262295082,170.5737704918033,134.5737704918033,190.40983606557376,150.9016393442623,158.45081967213116,154.39344262295083,183.91803278688525,158.41803278688525,164.7622950819672,176.77868852459017,186.86885245901638,179.0983606557377,183.5983606557377,156.40983606557376,158.7704918032787,176.71311475409837,136.0655737704918,175.63114754098362
000027.png,77.01886792452831,117.71698113207547,71.26415094339623,148.20754716981133,83.9245283018868,128.1509433962264,67.33962264150944,76.71698113207547,141.52830188679246,128.96226415094338,120.30188679245283,68.30188679245283,132.22641509433961,64.9245283018868,134.0188679245283,125.64150943396227,79.0377358490566,74.90566037735849,140.9433962264151,156.0754716981132,0.0,182.18867924528303,146.47169811320754,66.62264150943396,141.50943396226415,165.26415094339623,77.84905660377359,64.56603773584905,91.77358490566037,160.16981132075472,86.73584905660377,71.0,126.75471698113208,156.26415094339623,67.37735849056604,156.50943396226415,149.73584905660377,112.77358490566037,70.81132075471699,97.9622641509434,171.18867924528303,72.16981132075472,65.26415094339623,70.73584905660377,93.73584905660377,92.0754716981132,136.0566037735849,134.22641509433961,147.67924528301887,131.9811320754717
000028.png,194.58947368421053,179.23157894736843,191.0842105263158,121.28421052631579,178.8842105263158,196.94736842105263,193.86315789473684,184.81052631578947,130.2842105263158,192.9157894736842,189.1157894736842,190.97894736842105,134.69473684210527,198.93684210526317,178.09473684210528,194.3578947368421,183.94736842105263,176.26315789473685,136.65263157894736,135.96842105263158,198.2842105263158,0.0,130.94736842105263,194.52631578947367,132.33684210526314,139.06315789473683,172.26315789473685,193.86315789473684,168.33684210526314,134.29473684210527,172.54736842105262,182.2736842105263,164.69473684210527,131.09473684210528,198.6,121.69473684210526,137.31578947368422,135.57894736842104,190.05263157894737,138.98947368421054,139.8736842105263,179.73684210526315,196.67368421052632,183.8842105263158,192.4,140.2842105263158,148.44210526315788,179.8,137.07368421052632,179.1263157894737
000029.png,185.09937888198758,172.63975155279502,179.3726708074534,125.40372670807453,169.5527950310559,186.4223602484472,175.88819875776397,181.90683229813664,135.75776397515529,187.12422360248448,182.7391304347826,175.77639751552795,139.14906832298138,184.07453416149067,175.45341614906832,190.91925465838509,172.2049689440994,164.17391304347825,152.7391304347826,138.1304347826087,182.46583850931677,143.32298136645963,0.0,178.3167701863354,122.64596273291926,144.09937888198758,165.17391304347825,178.9751552795031,157.77639751552795,132.87577639751552,161.6024844720497,169.61490683229815,158.93788819875778,136.16770186335404,185.14285714285714,140.7639751552795,156.8447204968944,150.65217391304347,178.73291925465838,154.1304347826087,161.01242236024845,168.944099378882,184.27950310559007,171.70186335403727,181.35403726708074,151.34782608695653,154.33540372670808,179.0,137.9503105590062,176.13664596273293
00003.png,76.50943396226415,119.0,72.81132075471699,147.62264150943398,84.32075471698113,131.0754716981132,64.30188679245283,81.66037735849056,142.0754716981132,123.86792452830188,114.50943396226415,69.33962264150944,135.41509433962264,63.83018867924528,132.33962264150944,126.01886792452831,82.28301886792453,79.66037735849056,140.9433962264151,156.24528301886792,65.83018867924528,175.79245283018867,147.56603773584905,0.0,143.16981132075472,162.52830188679246,86.16981132075472,58.24528301886792,90.67924528301887,157.0,89.88679245283019,76.05660377358491,125.41509433962264,154.26415094339623,63.283018867924525,152.9245283018868,147.69811320754718,104.77358490566037,72.71698113207547,99.11320754716981,168.50943396226415,74.75471698113208,67.43396226415095,62.79245283018868,96.0754716981132,93.64150943396227,134.56603773584905,133.11320754716982,147.1509433962264,130.75471698113208
